Drug A,Drug B,Strain,Specie,Bliss Score,Source,Drug Pair,Drug A Inchikey,Drug B Inchikey,Interaction Type
spiramycin,clarithromycin,escherichia coli bw25113,escherichia coli,0.1006,ACDB;Brochado,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'AGOYDEPGAOXOCK-KCBOHYOISA-N')",ACTOXUHEUCPTEW-CEUOBAOPSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,antagonism
spiramycin,clarithromycin,escherichia coli iai1,escherichia coli,0.1106,ACDB;Brochado,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'AGOYDEPGAOXOCK-KCBOHYOISA-N')",ACTOXUHEUCPTEW-CEUOBAOPSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,antagonism
spiramycin,chir-90,escherichia coli bw25113,escherichia coli,-0.2526,Brochado,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'FQYBTYFKOHPWQT-VGSWGCGISA-N')",ACTOXUHEUCPTEW-CEUOBAOPSA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,synergy
spiramycin,chir-90,escherichia coli iai1,escherichia coli,-0.2767,Brochado,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'FQYBTYFKOHPWQT-VGSWGCGISA-N')",ACTOXUHEUCPTEW-CEUOBAOPSA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,synergy
spiramycin,chir-90,salmonella typhimurium 14028,salmonella typhimurium,-0.3671,Brochado,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'FQYBTYFKOHPWQT-VGSWGCGISA-N')",ACTOXUHEUCPTEW-CEUOBAOPSA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,synergy
spiramycin,chir-90,salmonella typhimurium lt2,salmonella typhimurium,-0.207,Brochado,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'FQYBTYFKOHPWQT-VGSWGCGISA-N')",ACTOXUHEUCPTEW-CEUOBAOPSA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,synergy
amikacin,spiramycin,escherichia coli bw25113,escherichia coli,0.1896,ACDB;Brochado,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')",LKCWBDHBTVXHDL-RMDFUYIESA-N,ACTOXUHEUCPTEW-CEUOBAOPSA-N,antagonism
amikacin,spiramycin,escherichia coli iai1,escherichia coli,-0.0488,ACDB;Brochado,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')",LKCWBDHBTVXHDL-RMDFUYIESA-N,ACTOXUHEUCPTEW-CEUOBAOPSA-N,neutral
ciprofloxacin,spiramycin,pseudomonas aeruginosa pa14,pseudomonas aeruginosa,0.2119,ACDB;Brochado,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')",MYSWGUAQZAJSOK-UHFFFAOYSA-N,ACTOXUHEUCPTEW-CEUOBAOPSA-N,antagonism
ciprofloxacin,spiramycin,pseudomonas aeruginosa pao1,pseudomonas aeruginosa,-0.0681,ACDB;Brochado,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')",MYSWGUAQZAJSOK-UHFFFAOYSA-N,ACTOXUHEUCPTEW-CEUOBAOPSA-N,neutral
spiramycin,tobramycin,escherichia coli bw25113,escherichia coli,0.6815,ACDB;Brochado,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'NLVFBUXFDBBNBW-PBSUHMDJSA-N')",ACTOXUHEUCPTEW-CEUOBAOPSA-N,NLVFBUXFDBBNBW-PBSUHMDJSA-N,antagonism
spiramycin,tobramycin,escherichia coli iai1,escherichia coli,0.0411,ACDB;Brochado,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'NLVFBUXFDBBNBW-PBSUHMDJSA-N')",ACTOXUHEUCPTEW-CEUOBAOPSA-N,NLVFBUXFDBBNBW-PBSUHMDJSA-N,neutral
spiramycin,tobramycin,pseudomonas aeruginosa pa14,pseudomonas aeruginosa,0.2717,ACDB;Brochado,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'NLVFBUXFDBBNBW-PBSUHMDJSA-N')",ACTOXUHEUCPTEW-CEUOBAOPSA-N,NLVFBUXFDBBNBW-PBSUHMDJSA-N,antagonism
spiramycin,tobramycin,pseudomonas aeruginosa pao1,pseudomonas aeruginosa,-0.0393,ACDB;Brochado,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'NLVFBUXFDBBNBW-PBSUHMDJSA-N')",ACTOXUHEUCPTEW-CEUOBAOPSA-N,NLVFBUXFDBBNBW-PBSUHMDJSA-N,neutral
cefaclor,spiramycin,escherichia coli bw25113,escherichia coli,0.101,ACDB;Brochado,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'QYIYFLOTGYLRGG-GPCCPHFNSA-N')",QYIYFLOTGYLRGG-GPCCPHFNSA-N,ACTOXUHEUCPTEW-CEUOBAOPSA-N,antagonism
cefaclor,spiramycin,escherichia coli iai1,escherichia coli,0.0319,ACDB;Brochado,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'QYIYFLOTGYLRGG-GPCCPHFNSA-N')",QYIYFLOTGYLRGG-GPCCPHFNSA-N,ACTOXUHEUCPTEW-CEUOBAOPSA-N,neutral
spiramycin,metformin,escherichia coli bw25113,escherichia coli,0.1663,Brochado,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'XZWYZXLIPXDOLR-UHFFFAOYSA-N')",ACTOXUHEUCPTEW-CEUOBAOPSA-N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,antagonism
spiramycin,metformin,escherichia coli iai1,escherichia coli,0.0598,Brochado,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'XZWYZXLIPXDOLR-UHFFFAOYSA-N')",ACTOXUHEUCPTEW-CEUOBAOPSA-N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,neutral
spiramycin,colistin,escherichia coli bw25113,escherichia coli,-0.7075,ACDB;Brochado,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'YKQOSKADJPQZHB-RGYSVOEGSA-N')",ACTOXUHEUCPTEW-CEUOBAOPSA-N,YKQOSKADJPQZHB-RGYSVOEGSA-N,synergy
