Bliss score histogram
----------------------
CSV_PATH: /home/hany/projects/cc_ml/HALO_repo/data/d_processed/combinations_combined.csv
ADDITIVITY_CUTOFF: 0.05
Number of samples (non-NaN Bliss): 3160
Bins: 25

bin_start	bin_end	count
-0.990300	-0.911924	8
-0.911924	-0.833548	16
-0.833548	-0.755172	23
-0.755172	-0.676796	18
-0.676796	-0.598420	31
-0.598420	-0.520044	42
-0.520044	-0.441668	61
-0.441668	-0.363292	72
-0.363292	-0.284916	117
-0.284916	-0.206540	209
-0.206540	-0.128164	416
-0.128164	-0.049788	465
-0.049788	0.028588	103
0.028588	0.106964	428
0.106964	0.185340	629
0.185340	0.263716	266
0.263716	0.342092	113
0.342092	0.420468	52
0.420468	0.498844	34
0.498844	0.577220	17
0.577220	0.655596	11
0.655596	0.733972	17
0.733972	0.812348	6
0.812348	0.890724	4
0.890724	0.969100	2
