feature,importance_gain_mean,importance_gain_std,selected_in_n_folds
cos_elem_2219,366.39623664319515,117.32848632450231,5
euc_elem_1314,303.92110015153884,138.29727729011105,5
cos_elem_2434,281.36985659599304,79.2606749648723,5
euc_elem_1809,260.55864427685736,123.32628415847185,5
euc_elem_1398,257.99882228523495,70.71907966968904,5
euc_elem_39,244.2668520450592,137.0715830300961,5
cos_elem_430,228.55868970751763,54.46789446627081,5
euc_elem_1004,224.9781084254384,109.82109727389486,5
euc_elem_635,215.474689373374,61.26253115310633,5
euc_elem_430,199.997674202919,123.93164771936992,5
cos_elem_859,189.86605936735867,77.83349536198737,5
euc_elem_2602,179.7417389690876,35.407768716488164,5
euc_elem_1926,171.76518433466555,30.734071677816285,5
cos_elem_1926,167.20618214011193,45.91830428116259,5
cos_elem_2652,160.52846866846085,95.26597883956656,5
cos_elem_738,158.07407047450542,158.85504648310496,4
euc_elem_2219,154.42906587719918,80.08133148688556,5
cos_elem_2226,152.67130515575408,171.80136675057526,5
cos_elem_434,144.14589938670397,43.78649742262247,5
euc_elem_2771,143.45796933472155,83.18616189376661,5
euc_elem_2287,136.88904220610857,67.01726951957528,5
euc_elem_1284,135.48776527643204,71.60048286336875,5
euc_elem_963,134.513484993577,24.111604576936692,5
euc_elem_94,133.253913885355,69.60684202848043,5
cos_elem_2461,129.4498275503516,81.06912249627635,5
euc_elem_2226,129.24945521727204,67.34188267155876,5
euc_elem_2258,128.60726219415665,94.04083069380216,5
cos_elem_2602,125.50116483420133,28.741825443778428,5
cos_elem_1856,123.23638108670711,137.4951356083212,5
cos_elem_482,123.18731805980205,71.68952352172938,5
cos_elem_1390,120.90409411787986,132.97510188152154,3
euc_elem_738,119.75226099193097,61.37967749225066,5
euc_elem_3172,119.5625324189663,67.10370719888469,5
cos_elem_1004,117.53946521878242,72.16034395710473,4
euc_elem_202,116.67703711688519,82.36388441998537,5
cos_elem_635,116.55491291284561,46.368960939705,5
cos_elem_654,115.9132877022028,74.21733942252484,5
cos_elem_2411,115.03288795948029,56.403204538146674,5
euc_elem_878,114.34331511408091,137.59124168417125,4
euc_elem_1390,111.865920946002,86.66095440228592,4
cos_elem_814,111.29710506796837,65.88368922737656,5
cos_elem_1398,107.78587967157364,112.29874933068177,5
cos_elem_254,105.49574189037085,51.902841649106584,5
euc_elem_2717,105.21322640627622,42.37084811226937,5
euc_elem_476,104.8321593016386,52.10679476658796,5
euc_elem_968,102.667320728302,118.375408702727,5
cos_elem_2136,101.34517792016268,70.9501430981403,5
cos_elem_1284,98.64435448646546,77.98065025168157,5
cos_elem_2944,97.20239498913288,95.42612082369017,5
cos_elem_3302,96.84283064305782,13.644704514942655,5
euc_elem_602,95.17083607912063,56.31537017747588,5
cos_elem_1173,94.83089696168899,77.4615918953319,3
cos_elem_450,94.70090492963791,64.89122342326134,5
cos_elem_1183,94.66779868081213,62.005993115329716,5
cos_elem_2155,94.66684289574623,37.43172278987828,5
cos_elem_2930,92.17398308515548,77.25282636841304,5
cos_elem_444,91.58010257929564,64.82737882816932,5
