feature,importance_split,importance_gain,importance_gain_norm,selected_in_n_folds
cos_elem_39,27.8,447.20000208616256,0.0061747371593807235,5
cos_elem_2219,54.2,378.806035682559,0.005230383930714146,5
cos_elem_430,30.2,278.8541722327471,0.0038502934063093866,5
euc_elem_1398,13.8,252.04164252281188,0.0034800780155119647,5
cos_elem_1926,50.4,242.01980175077915,0.0033417009306913248,5
cos_elem_1314,11.6,198.43836452364923,0.0027399479820101463,5
cos_elem_1004,17.0,189.86371063888072,0.0026215530049884172,5
euc_elem_1809,27.8,178.41402675360442,0.0024634609025291766,5
cos_elem_2434,23.4,177.88927447795868,0.0024562153583413773,5
euc_elem_1314,9.6,177.39109392166137,0.002449336704542853,5
cos_elem_635,51.6,176.89825365245343,0.0024425317870345317,5
cos_elem_738,13.8,169.4620280146599,0.002339855716915962,5
euc_elem_2226,27.6,164.30928647220134,0.0022687089715526347,5
cos_elem_2602,15.2,154.60455137491226,0.0021347103397377104,5
euc_elem_1390,11.5,150.82374326884747,0.0020825066362580576,4
euc_elem_430,31.6,150.4916212245822,0.0020779208439534787,5
cos_elem_2774,10.5,137.40538679808378,0.0018972319852488262,2
euc_elem_2219,36.6,136.6476036310196,0.0018867688549746833,5
cos_elem_444,42.2,136.47738749980925,0.0018844185869388885,5
euc_elem_635,37.2,129.1858352214098,0.001783740101713109,5
cos_elem_2688,16.0,128.31410950422287,0.001771703703784683,1
cos_elem_859,10.6,125.36592296361923,0.001730996465635914,5
cos_elem_1997,10.0,123.29194694757462,0.0017023599345218831,1
cos_elem_1390,9.333333333333334,122.52461843689282,0.0016917650064220255,3
cos_elem_1856,19.0,122.39690553545952,0.0016900016039297764,5
euc_elem_2602,16.6,120.68608021140099,0.0016663792947786275,5
euc_elem_1926,38.2,119.45039646327496,0.0016493175275129675,5
cos_elem_2788,12.0,117.40603321790695,0.0016210898762617186,2
cos_elem_2840,27.4,115.73291933089494,0.0015979882697281427,5
cos_elem_202,28.4,115.43001036047936,0.0015938058384517345,5
euc_elem_968,22.8,114.83430829644203,0.0015855806513909742,5
cos_elem_2461,23.4,111.08220173716545,0.001533773246003133,5
euc_elem_1004,13.0,108.92105954885483,0.0015039331634570335,5
cos_elem_2226,15.0,107.79663739204406,0.0014884076463682551,5
cos_elem_1284,10.0,105.02915799617767,0.0014501955314671817,5
euc_elem_3172,32.0,104.29406684041024,0.0014400457223127203,5
cos_elem_206,16.2,102.68812025785446,0.0014178715318095257,5
euc_elem_2461,27.5,100.90365246683359,0.0013932324004867767,4
cos_elem_2409,15.333333333333334,100.83347295721371,0.0013922633932777974,3
cos_elem_556,35.6,99.81222951859236,0.0013781625216771438,5
euc_elem_878,20.8,99.79918059110642,0.0013779823479359505,5
euc_elem_2411,8.0,98.47309338450432,0.0013596723302414344,5
cos_elem_2771,11.0,96.96484580636024,0.0013388471237949506,5
euc_elem_2287,25.4,96.9303622841835,0.0013383709907789003,5
euc_elem_602,17.0,94.52417801320553,0.001305147477002032,4
euc_elem_963,9.25,94.36329368501902,0.0013029260583191586,4
cos_elem_2136,14.0,93.1763776153326,0.00128653765329597,5
euc_elem_2258,25.4,91.4230905354023,0.0012623290512543673,5
euc_elem_2246,26.6,90.97924625128508,0.001256200648344411,5
euc_elem_2434,15.0,90.37700267583132,0.001247885139026421,5
euc_elem_738,8.0,89.10283830165864,0.0012302920485262844,5
cos_elem_2274,16.6,88.717704474926,0.0012249742932933531,5
euc_elem_1666,16.0,88.70562885204951,0.0012248075585058974,3
cos_elem_2424,14.8,88.51630847454071,0.0012221935076012053,5
euc_elem_1173,17.8,88.17771281599998,0.001217518330532683,5
cos_elem_2913,22.2,87.98646216392517,0.0012148776272620809,5
cos_elem_32,32.0,86.87281600385904,0.0011995009003057222,4
euc_elem_2175,32.0,86.72328553199767,0.0011974362505813149,5
euc_elem_94,18.6,86.59805516004562,0.0011957071257432822,5
cos_elem_2258,23.4,86.32468674182891,0.0011919325771692897,5
cos_elem_472,26.5,85.10225195065141,0.001175053745561974,4
euc_elem_3141,25.2,84.76788404881954,0.0011704369434628818,5
euc_elem_3186,25.0,84.06749282280605,0.0011607662553832863,3
